par,region,p_val,signif
TOC,Sørlandet,1.2846830610583427e-25,yes
TOC,Vestlandet,8.010445461086756e-17,yes
TOC,Midt-Norge,1.5447546322762507e-07,yes
TOC,Nord-Norge,0.9970418140997356,no
TOTN,Østlandet,0.5619229083813493,no
TOTN,Sørlandet,9.814135669947277e-07,yes
TOTN,Vestlandet,8.927340248507049e-22,yes
TOTN,Midt-Norge,2.6260328491225695e-06,yes
TOTN,Nord-Norge,0.35335915623132963,no
TOTP,Østlandet,0.008916699075422587,yes
TOTP,Sørlandet,0.3612901733163493,no
TOTP,Vestlandet,0.2201834644329972,no
TOTP,Midt-Norge,0.5172244054981017,no
TOTP,Nord-Norge,0.06241119504007245,no
Zn,Østlandet,5.159908791471086e-05,yes
Zn,Sørlandet,1.866945688303718e-24,yes
Zn,Vestlandet,9.224982909366532e-12,yes
Zn,Midt-Norge,0.03462645018835654,yes
Zn,Nord-Norge,0.00382855182473451,yes
pH,Østlandet,0.6619536082219759,no
pH,Sørlandet,1.5379118147774576e-21,yes
pH,Vestlandet,1.2087496865291098e-37,yes
pH,Midt-Norge,0.004952963607478656,yes
pH,Nord-Norge,0.002665948362128763,yes
LAL,Østlandet,0.0002553170116667175,yes
LAL,Sørlandet,8.799248945218455e-22,yes
LAL,Vestlandet,6.316714803530345e-10,yes
LAL,Midt-Norge,0.003402267680550488,yes
LAL,Nord-Norge,0.1427336768181091,no
ALKE,Østlandet,0.001728799085751306,yes
ALKE,Sørlandet,1.1581625999499954e-14,yes
ALKE,Vestlandet,4.893665913860112e-30,yes
ALKE,Midt-Norge,0.00853795362466877,yes
ALKE,Nord-Norge,0.7161825388313305,no
ANC,Østlandet,0.02179668384841135,yes
ANC,Vestlandet,5.042688953877783e-11,yes
ANC,Sørlandet,0.014002097354436116,yes
ANC,Midt-Norge,0.0067358404658695884,yes
ANC,Nord-Norge,0.43662621934967105,no
